126,TRS-80,,,,,6
504,Uzebox,,EUzebox,,"The Uzebox is a retro-minimalist 8-bit open source game console. It is based on an AVR 8-bit general purpose microcontroller made by Atmel. The particularity of the system is that it uses an interrupt driven kernel and has no frame buffer. Functions such as video signal generation, tile rendering and music mixing is done in realtime by a background task so your game can easily be developed in C. The design goal was to be as simple as possible yet have good enough sound and graphics to implement interesting games. Emphasis was put on making it easy and fun to assemble and program for any hobbyists. The final design contains only two chips: an ATmega644 and an AD725 RGB-to-NTSC converter.",1
91,Bally Astrocade,astrocade,Bally Arcade,2,,1
104,HP 2100,hp2100,,,,6
475,R-Zone,,,5,"The R-Zone is a portable game console (originally head-worn, later handheld) developed and manufactured by Tiger Electronics. The R-Zone was shown at the American International Toy Fair in February 1995, and was released later that year. The R-Zone was panned by critics, and was also a commercial disaster, with its lifespan lasting only two years before being discontinued in 1997.",5
106,SDS Sigma 7,sdssigma7,,,,6
62,Atari Jaguar,Jaguar,,5,,1
101,Ferranti Nimrod Computer,nimrod,,,,6
123,WonderSwan Color,,WSC,5,,5
128,PC Engine SuperGrafx,supergrafx,SuperGrafx,4,"The PC Engine SuperGrafx, also known as simply the SuperGrafx, is a fourth-generation home video game console manufactured by NEC Home Electronics and released in Japan in 1989. It is the successor system to the PC Engine, released two years prior. Originally known as the PC Engine 2 during production stages, it was purported as a true 16-bit home console, featuring improved graphics and audio capabilities over its predecessor.",1
148,AY-3-8607,,,,,1
308,Playdia,,,5,"The Playdia (プレイディア, Pureidia) (developed under the codename ""BA-X"") is a fifth-generation home video game console released exclusively in Japan in 1994 at the initial price of ¥24,800. It was intended for a young audience and, like many consoles of the era (e.g. the LaserActive and the 3DO Interactive Multiplayer), was marketed more as a multimedia home entertainment system than as a dedicated gaming console, with anime quiz software and edutainment making up most of the game library.",1
146,AY-3-8605,,,,,1
138,VC 4000,,,2,"The rather obscure VC 4000 Video Computer, manufactured by Interton company, is regarded as the only console entirely developed in (West-)Germany. Whether or not that is true will probably remain a secret as the system's (still existing) former distributor has scrapped any documentation of the product that nearly got the company into bankruptcy. Information on the internet about the console's development history, however, is often contradictionary, inaccurate and often blatantly false.  For instance, the most common and aggravating misconception is that the VC 4000 is ""based on"" the 1292 Advanced Programmable Video System, which supposedly was released as early as 1976! That would mean, that the technology used in the VC 4000 predates Atari's VCS by about a year and competes with Fairchild's Channel F for the title ""first 2nd generation video game system"". However, it is actually enough to compare the graphic capabilites of the two systems to realise that such information must be rubbish. So, here are some clarifying facts:  Both, the VC 4000 and the 1292 APVS, are built around the Signetics 2650 microprocessor, which was released in late 1975. That was around the same time when Philips had bought the Signetics company and shipped the technology over to Europe. At that time Philips' subsidary Magnavox was developing a system based on the arguably more powerful Intel 8048 microprocessor - that system would later become known as the G7000 (or Odyssey² in the USA). Having one hardware product already in development, Philips decided to treat the Signetics 2650 as commercial product, targeting small-sized electronic-manufacturers, who were already swarming the market with PONG-clones.  Considering that the VC 4000 is software-compatible (but not slot-compatible!) with the 1292 APVS, and considering that the two systems share the early half of their game library with identical game-titles implies the hypothesis that Philips sold both, the Signetics 2650 hardware and a certain number of developed ROM-software to two or three dozen companies, who developed, admittedly different, but ultimately compatible gaming systems, namely the VC 4000 and the 1292 Advanced Programmable Video System. The misconception that the 1292 APVS was released already in 1976 is probably owed to the - by now viral - misinformation that Radofin (the most prominent 1292 APVS manufacturer) released its first cosoles in 1976. These, however, were no microprocessored early wonder-machines, but plain PONG-clones.  More evidence to support this hypothesis is provided by a Swedish TV broadcast from April 1979, when a team from SVT (Swedish broadcast company) visited the Philips-reasearch-centre in Eindhoven, Netherlands to talk about the future of video games. Throught the video the developers are seen with VC 4000 controllers, testing game prototypes which graphicly correspond with games on the VC 4000/1292 APVS and not Philips' own home console, the Videopac G7000,  Available evidence, primarly in the form of leaflets, suggests that German manufacturer Interton was indeed the first one to hit the market with a Signetics 2650 microprocessor-based gaming system in autumn 1978: the VC 4000. Leaflets for 1292 APVS consoles by Radofin, Acetronic and other companies would only appear in 1979.",1
87,Virtual Boy,virtualboy,VB,5,,1
155,Tatung Einstein,,,,,6
166,Pokémon mini,,,,"The Pokémon mini is a handheld game console that was designed and manufactured by Nintendo and themed around the Pokémon media franchise. It is the smallest game system with interchangeable cartridges ever produced by Nintendo, weighing just under two and a half ounces (71 grams).",5
55,Legacy Mobile Device,Mobile,Legacy Cellphone,,,5
121,Sharp X68000,,,,,6
134,Acorn Electron,,,,,6
86,TurboGrafx-16/PC Engine,turbografx16,TG16,4,,1
388,Gear VR,,Samsung Gear VR,,,1
95,PDP-1,pdp1,Programmed Data Processor-1,,,6
120,Neo Geo Pocket Color,,NGPC,5,"The Neo Geo Pocket Color (also stylized as NEOGEOPOCKET COLOR, often abbreviated NGPC), is a 16-bit color handheld video game console manufactured by SNK. It is a successor to SNK's monochrome Neo Geo Pocket handheld which debuted in 1998 in Japan, with the Color being fully backward compatible. The Neo Geo Pocket Color was released on March 16, 1999 in Japan, August 6, 1999 in North America, and on October 1, 1999 in Europe, entering markets all dominated by Nintendo.",5
154,Amstrad PCW,,,,"The Amstrad PCW series is a range of personal computers produced by British company Amstrad from 1985 to 1998, and also sold under licence in Europe as the ""Joyce"" by the German electronics company Schneider in the early years of the series' life. The PCW, short for Personal Computer Word-processor, was targeted at the wordprocessing and home office markets. When it was launched the cost of a PCW system was under 25% of the cost of almost all IBM-compatible PC systems in the UK, and as a result the machine was very popular both in the UK and in Europe, persuading many technophobes to venture into using computers.",6
156,Thomson MO5,,,,"The Thomson MO5 is a home computer introduced in France in 1984 to compete against systems such as the ZX Spectrum and Commodore 64. At the same time, Thomson also released the up-market Thomson TO7/70 machine. The MO5 was not sold in vast quantities outside France and was largely discontinued in favour of the improved Thomson MO6 in 1986. MO5s were also used as educational tools in French schools for a period.",6
165,PlayStation VR,PSVR,PSVR,8,,1
67,Intellivision,intellivision,,2,,1
107,Call-A-Computer time-shared mainframe computer system,call-a-computer,,,,6
